IncidentID,AgencyORI,AgencyName,IncidentStatusDesc,County,RdwyNumber,Street,RoadwayName,StreetSfx,StreetDir,IntersectionRdwy,IntersectionRdwyName,BetweenStRdwy1,BetweenStRdwyName1,BetweenStRdwy2,BetweenStRdwyName2,Latitude,Longitude,Milepoint,CollisionDate,CollisionTime,UnitsInvolved,MotorVehiclesInvolved,NumberKilled,NumberInjured,Weather,RdwyConditionCode,HitandRun,DirAnalysisCode,MannerofCollision,RdwyCharacter,LightCondition,RampFromRdwyId,RampToRdwyId,AcceptedDate,IsSecondaryCollision,OwnerBadge,IncidentStatus,InjurySeverityCde,KABCO Code,KABCO,Environmental_Factors,Human_Factors,Vehicular_Factors
27636154,0870000,MONTGOMERY CTY SHERIFF DEPT,Accepted,MONTGOMERY,US0060,,OWINGSVILLE,RD,,,,,,,,38.131687,-83.87595092,12.085,1/2/2021,1630,1,1,0,1,CLEAR,WET,FALSE,RAN OFF ROADWAY (1 VEHICLE WITH/EARTH EMBANKMENT/DITCH),SINGLE VEHICLE,CURVE & GRADE,DAYLIGHT,,,44201.44024,FALSE,245,Accepted,5,3,B,,OVERCORRECTING/OVERSTEERING,
27636155,0870000,MONTGOMERY CTY SHERIFF DEPT,Accepted,MONTGOMERY,KY0011,1900,LEVEE,RD,,,,,,,,38.02594584,-83.94842574,8.216,1/2/2021,25,1,1,0,1,CLOUDY,WET,FALSE,RAN OFF ROADWAY (1 VEHICLE WITH/EARTH EMBANKMENT/DITCH),SINGLE VEHICLE,CURVE & LEVEL,DARK-HWY NOT LIGHTED,,,44201.44031,FALSE,234,Accepted,5,2,A,,"NOT UNDER PROPER CONTROL, OVERCORRECTING/OVERSTEERING, TOO FAST FOR CONDITIONS",
27636160,0870000,MONTGOMERY CTY SHERIFF DEPT,Accepted,MONTGOMERY,US0060,3060,OWINGSVILLE,RD,,,,,,,,38.08608364,-83.89967757,8.485,1/3/2021,516,1,1,0,1,RAINING,WET,FALSE,RAN OFF ROADWAY (1 VEHICLE WITH/EARTH EMBANKMENT/DITCH),SINGLE VEHICLE,STRAIGHT & HILLCREST,DARK-HWY NOT LIGHTED,,,44201.4407,FALSE,234,Accepted,2,2,A,SLIPPERY SURFACE,"EMOTIONAL, NOT UNDER PROPER CONTROL",
27636247,0870000,MONTGOMERY CTY SHERIFF DEPT,Accepted,MONTGOMERY,US0460,,MAIN,ST,,,,,,,,37.95452017,-83.78566048,21.366,1/4/2021,1047,1,1,0,1,CLOUDY,DRY,FALSE,RAN OFF ROADWAY (1 VEHICLE WITH/EARTH EMBANKMENT/DITCH),SINGLE VEHICLE,CURVE & LEVEL,DAYLIGHT,,,44201.45573,FALSE,228,Accepted,3,3,B,,NOT UNDER PROPER CONTROL,
27642063,0870100,MT. STERLING POLICE DEPARTMENT,Accepted,MONTGOMERY,,,MAYSVILLE,ST,N,,HIGH,,,,,38.05757236,-83.94247642,,1/5/2021,1457,2,2,0,0,CLEAR,DRY,FALSE,OPPOSING LEFT TURN,OPPOSING LEFT TURN,STRAIGHT & GRADE,DAYLIGHT,,,44202.74173,FALSE,153,Accepted,5,5,O,,INATTENTION,
27646793,0870100,MT. STERLING POLICE DEPARTMENT,Accepted,MONTGOMERY,KY0686,,INDIAN MOUND,DR,,,VANCE,,,,,38.07367685,-83.9512245,0.168,1/6/2021,1651,2,2,0,0,CLEAR,DRY,FALSE,REAR END IN TRAFFIC LANES BOTH VEHICLES MOVING,REAR END,STRAIGHT & LEVEL,DAYLIGHT,,,44203.88435,FALSE,152,Accepted,5,5,O,,MISJUDGE CLEARANCE,
27647432,0870100,MT. STERLING POLICE DEPARTMENT,Accepted,MONTGOMERY,US0460,,MAYSVILLE,ST,N,,,,,,,38.07590301,-83.94909887,8.199,1/7/2021,1714,1,1,0,0,CLEAR,DRY,FALSE,COLLISION WITH FIXED OBJECT NON - INTERSECTION - FIRST EVENT COLLISION 09 - 32 EXCLUDING 16,SINGLE VEHICLE,STRAIGHT & LEVEL,DUSK,,,44204.05716,FALSE,152,Accepted,5,5,O,,TURNING IMPROPERLY,
27648522,0870000,MONTGOMERY CTY SHERIFF DEPT,Accepted,MONTGOMERY,US0060,860,WINCHESTER,RD,,,,,,,,38.05322737,-83.96197004,3.985,1/2/2021,949,1,1,0,0,CLOUDY,DRY,FALSE,COLLISION WITH FIXED OBJECT NON - INTERSECTION - FIRST EVENT COLLISION 09 - 32 EXCLUDING 16,SINGLE VEHICLE,STRAIGHT & GRADE,DAYLIGHT,,,44204.442,FALSE,216,Accepted,5,5,O,,LOST CONSCIOUSNESS/FAINTED,
27652978,0870100,MT. STERLING POLICE DEPARTMENT,Accepted,MONTGOMERY,KY0686,,INDIAN MOUND,DR,,,,,,,,38.05963361,-83.95588143,1.255,1/8/2021,1851,2,2,0,0,CLEAR,DRY,FALSE,SIDESWIPE COLLISION - SAME DIRECTION,SIDESWIPE-SAME DIRECTION,STRAIGHT & LEVEL,DARK-HWY LIGHTED/ON,,,44205.86691,FALSE,154,Accepted,5,5,O,,INATTENTION,
27655697,0870100,MT. STERLING POLICE DEPARTMENT,Accepted,MONTGOMERY,US0060,,MAIN,ST,W,,,,,,,38.05387894,-83.95594823,4.341,1/8/2021,1024,2,2,0,0,CLEAR,DRY,FALSE,OTHER ROADWAY OR MID-BLOCK COLLISION,REAR END,STRAIGHT & LEVEL,DAYLIGHT,,,44206.86805,FALSE,156,Accepted,5,5,O,,INATTENTION,
27671147,0870000,MONTGOMERY CTY SHERIFF DEPT,Accepted,MONTGOMERY,US0460,,MAIN,ST,,,,,,,,37.98300213,-83.86870604,16.361,1/5/2021,1306,3,3,0,1,CLOUDY,DRY,FALSE,REAR END IN TRAFFIC LANES BOTH VEHICLES MOVING,REAR END,STRAIGHT & LEVEL,DAYLIGHT,,,44210.51862,FALSE,226,Accepted,5,4,C,,FAILED TO YIELD RIGHT OF WAY,
27671151,0870000,MONTGOMERY CTY SHERIFF DEPT,Accepted,MONTGOMERY,,,MONTGOMERY CO HIGH SCHOOL ARENA,DR,,,,,,,,38.04527231,-83.9429367,0.154,1/5/2021,2117,2,2,0,0,CLEAR,DRY,TRUE,1 VEHICLE PARKED POSITION (NOT PARKING LOT/DRIVEWAY),BACKING,STRAIGHT & LEVEL,DARK-HWY NOT LIGHTED,,,44210.51933,FALSE,246,Accepted,5,5,O,,"IMPROPER BACKING, MISJUDGE CLEARANCE",
